longitude, latitude, nom
1.49426, 43.57329, "[McDo] 31 Toulouse (Montaudran) (D- -W)"
1.39472, 43.60792, "[McDo] 31 Toulouse (Purpan) (D- -W)"
1.46810, 43.55401, "[McDo] 31 Toulouse (Rangueil) (D- -W)"
1.39237, 43.56749, "[McDo] 31 Toulouse (Reynerie) (D- -W)"
1.41920, 43.54972, "[McDo] 31 Toulouse (Rte d'Espagne) (D- -W)"
1.44839, 43.60531, "[McDo] 31 Toulouse (Wilson) ( - -W)"
1.35982, 43.58942, "[McDo] 31 Tournefeuille (D- -W)"
1.70384, 43.39945, "[McDo] 31 Villefranche-de-Lauragais (D- -W)"
0.59406, 43.65027, "[McDo] 32 Auch (D- -W)"
1.07230, 43.60346, "[McDo] 32 L'Isle-Jourdain (D- -W)"
-1.11287, 44.77142, "[McDo] 33 Arès (D- -W)"
-0.95778, 44.63694, "[McDo] 33 Biganos (D- -W)"
-0.62423, 44.91141, "[McDo] 33 Blanquefort (D- -W)"
-0.57295, 44.81396, "[McDo] 33 Bordeaux (Barrière de Toulouse) (D- -W)"
-0.56540, 44.87010, "[McDo] 33 Bordeaux (Port Autonome) (D- -W)"
-0.59658, 44.82937, "[McDo] 33 Bordeaux (Stade) (D- -W)"
-0.57417, 44.84083, "[McDo] 33 Bordeaux (Ste Catherine Centre) ( -K-W)"
-0.55755, 44.84218, "[McDo] 33 Bordeaux (Thiers) (D- -W)"
-0.57260, 44.83110, "[McDo] 33 Bordeaux (Victoire) ( - -W)"
-0.53119, 44.79339, "[McDo] 33 Bègles (C.Cial Carrefour) (D-K-W)"
-0.52938, 44.72347, "[McDo] 33 Cadaujac (D-K-W)"
-0.38010, 45.11071, "[McDo] 33 Cavignac (D- -W)"
-0.66500, 44.89222, "[McDo] 33 Eysines (D- -W)"
-0.51953, 44.82119, "[McDo] 33 Floirac (D- -W)"
-0.06958, 44.58348, "[McDo] 33 La Réole (parking Intermarché)"
-1.13608, 44.61635, "[McDo] 33 La Teste-de-Buch (Bassin Arcachon) (D- -W)"
-1.15726, 44.64556, "[McDo] 33 La Teste-de-Buch (Océan) (D- -W)"
-0.25472, 44.54306, "[McDo] 33 Langon (C.Cial Leclerc) (D- -W)"
-0.59362, 44.85383, "[McDo] 33 Le Bouscat (Bordeaux Médoc) ( -K-W)"
-0.62921, 44.95571, "[McDo] 33 Le Pian-Médoc (D- -W)"
-0.93972, 45.31083, "[McDo] 33 Lesparre-Médoc (D- -W)"
-0.21833, 44.90111, "[McDo] 33 Libourne (C.Cial Carrefour) (D- -W)"
-0.23968, 44.92782, "[McDo] 33 Libourne (Nord - C.Cial Leclerc) (D- -W)"
